DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,5555,32021,60182,01/01/2021,00:03:44,15,3,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,00:03:44,15,2,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,00:18:21,15,3,18.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,00:18:22,15,3,18.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,00:18:24,15,2,19.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,00:18:24,15,3,17.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,00:18:24,15,2,18.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,00:18:24,15,3,17.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,00:26:12,15,2,48.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,00:52:36,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,01:38:51,15,3,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,01:38:51,15,2,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,01:42:09,15,3,19.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,01:42:09,15,3,18.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,03:31:44,15,2,46.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,03:31:45,15,3,39.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,04:12:08,15,3,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,04:12:08,15,2,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,05:49:27,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,05:52:03,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,05:56:13,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:00:27,15,2,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:03:48,15,1,15.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:06:56,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:09:04,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:09:53,15,1,38.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:15:27,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:19:33,15,1,15.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:19:34,15,1,19.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:20:30,15,2,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:22:15,15,1,19.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:22:49,15,1,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:25:55,15,1,36.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:42:20,15,1,21.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:44:10,15,1,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:44:22,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:48:17,15,2,14.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:48:36,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:49:55,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:52:36,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:52:49,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:52:56,15,1,36.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:52:56,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:52:56,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:52:57,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:52:57,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:55:54,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:55:57,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:55:57,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:57:15,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:57:52,15,1,19.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,06:59:56,15,1,19.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:00:24,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:01:31,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:04:37,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:06:36,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:07:52,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:08:12,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:09:05,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:09:58,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:10:17,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:11:16,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:11:16,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:11:18,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:11:21,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:13:21,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:13:39,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:13:44,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:13:44,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:13:45,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:14:02,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:14:41,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:15:42,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:18:15,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:19:11,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:19:39,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:19:40,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:19:40,15,2,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:20:34,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:21:33,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:22:35,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:23:18,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:23:25,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:23:45,15,1,20.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:26:33,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:27:13,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:29:27,15,2,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:29:30,15,1,17.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:30:47,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:31:28,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:31:37,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:33:54,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:34:43,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:34:44,15,1,19.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:34:47,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:35:15,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:35:21,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:35:32,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:36:43,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:36:43,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:37:12,15,1,16.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:38:50,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:39:14,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:39:18,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:40:28,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:42:30,15,2,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:42:37,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:42:54,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:45:15,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:45:34,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:45:35,15,2,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:46:37,15,1,13.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:46:52,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:47:22,15,3,45.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:47:45,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:47:51,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:47:56,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:48:37,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,01/01/2021,07:48:45,15,1,27.0,,,,2,,1.0,Cycle,S
