DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,10488,24027,06/09/2021,04:58:12,15,1,27.1,1.0,4688.4,4688.1,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,05:21:54,15,1,27.0,0.9,1422.2,1422.1,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,05:38:15,15,1,30.7,1.0,422.8,422.4,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,05:44:06,15,1,23.5,1.0,351.3,351.2,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,06:04:25,15,1,30.9,1.0,809.5,809.5,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,06:15:30,15,1,29.5,1.0,607.9,607.6,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,06:17:30,15,1,28.7,1.0,119.6,119.4,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,06:17:35,15,1,27.7,1.0,5.3,5.2,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,06:26:55,15,1,27.5,1.0,559.9,559.8,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,06:40:23,15,1,29.7,1.0,75.7,75.3,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,06:40:28,15,1,28.6,1.0,5.3,5.2,2,1,1.00,CYCLE,N
IND,208,10488,28656,06/09/2021,06:42:39,15,0,6.0,0.7,16715.1,16715.5,2,1,1.00,CYCLE,S
IND,208,10488,24027,06/09/2021,06:57:39,15,1,21.6,1.0,592.7,592.7,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,06:59:00,15,1,31.2,1.0,80.7,80.5,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:00:02,15,1,30.1,1.0,62.3,62.2,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:05:42,15,1,28.6,1.1,340.1,340.0,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:08:11,15,1,29.9,0.9,148.8,148.7,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:28:26,15,1,26.0,1.0,413.5,413.1,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:30:08,15,1,22.2,1.0,55.1,54.7,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:34:10,15,1,21.3,1.0,242.4,242.2,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:34:37,15,1,28.4,1.0,26.7,26.5,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:34:39,15,1,25.1,1.0,2.3,2.2,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:39:28,15,1,28.1,1.0,288.6,288.4,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:41:32,15,1,27.8,1.0,124.6,124.5,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:47:20,15,1,24.9,1.0,194.0,193.3,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:49:16,15,1,29.7,1.0,116.1,116.0,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,07:56:25,15,1,23.0,1.0,368.9,368.3,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:00:54,15,1,23.2,1.0,269.4,269.2,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:04:12,15,1,21.7,1.0,197.5,197.3,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:05:39,15,1,21.4,1.1,87.5,87.3,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:08:37,15,1,19.6,1.0,177.9,177.7,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:10:37,15,1,22.0,1.0,119.3,119.2,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:17:59,15,1,33.6,1.0,442.5,442.3,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:19:35,15,1,26.6,1.0,96.4,96.3,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:20:36,15,1,26.3,1.0,61.1,60.9,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:22:40,15,1,25.9,1.0,123.8,123.7,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:27:14,15,1,19.8,1.0,261.4,260.0,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:28:38,15,1,16.0,0.9,83.9,83.7,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:31:09,15,1,29.2,1.0,151.1,150.9,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:35:08,15,1,30.7,1.0,228.7,228.7,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:37:47,15,1,16.6,1.0,159.3,159.2,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:39:02,15,1,29.3,1.0,74.4,74.2,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:48:29,15,1,35.5,1.0,567.4,567.3,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,08:59:02,15,1,20.7,0.9,632.7,632.6,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,09:18:36,15,1,23.5,1.0,1174.1,1173.9,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,09:20:30,15,1,22.6,1.0,50.9,50.5,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,09:29:16,15,1,25.7,1.0,311.4,311.0,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,09:43:30,15,1,24.1,1.0,854.1,854.0,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,09:47:29,15,1,19.4,1.0,238.6,238.5,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,10:00:15,15,1,25.1,1.0,351.9,351.8,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,10:12:29,15,1,25.6,1.0,251.2,251.2,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,10:36:55,15,1,11.8,1.0,239.5,239.0,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,10:39:29,15,1,21.3,1.0,153.7,153.4,2,1,1.00,CYCLE,N
IND,208,10488,24027,06/09/2021,10:42:18,15,1,29.1,1.0,168.8,168.6,2,1,1.00,CYCLE,N
