DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,34217,63752,20/09/2021,06:22:48,15,1,20.9,1.1,532.2,531.3,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,07:26:18,15,1,19.2,1.0,107.1,106.7,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,07:26:19,15,1,23.1,1.0,1.5,1.3,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,07:33:48,15,1,23.4,1.0,448.5,448.4,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,08:20:32,15,1,16.6,1.0,22.4,21.8,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,08:23:05,15,1,23.4,1.0,152.8,152.5,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,10:12:30,15,1,18.6,1.0,261.9,261.5,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,10:21:36,15,1,16.0,0.9,142.8,142.5,2,1,1.00,CYCLE,E
IND,208,34217,63753,20/09/2021,10:55:47,15,0,36.9,0.3,258.5,258.1,2,1,1.00,CYCLE,W
IND,208,34217,63752,20/09/2021,10:58:08,15,1,15.7,0.8,0.9,0.6,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,10:58:10,15,1,14.2,1.1,1.5,1.3,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,10:58:11,15,1,15.8,1.0,1.0,0.8,2,1,1.00,CYCLE,E
IND,208,34217,63753,20/09/2021,11:00:16,15,0,3.8,0.7,268.8,268.8,2,1,1.00,CYCLE,W
IND,208,34217,63752,20/09/2021,12:19:35,15,1,20.0,1.1,195.8,195.5,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,12:30:23,15,1,18.9,1.0,122.1,121.5,2,1,1.00,CYCLE,E
IND,208,34217,63753,20/09/2021,13:09:51,15,0,30.6,0.3,475.4,475.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,20/09/2021,13:17:53,15,0,37.4,0.1,145.4,145.0,2,1,1.00,CYCLE,W
IND,208,34217,63752,20/09/2021,13:58:21,15,1,19.3,1.1,44.2,43.9,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,14:41:56,15,1,20.7,1.1,91.1,90.4,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,15:37:41,15,1,17.5,1.0,33.2,32.8,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,16:02:09,15,1,20.8,1.1,20.1,19.8,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,16:21:12,15,1,18.7,1.1,47.8,47.5,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,17:05:47,15,1,26.9,1.0,163.7,163.4,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,17:08:29,15,1,22.7,1.0,34.0,33.7,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,17:43:53,15,1,19.0,1.0,192.0,191.6,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,17:44:20,15,1,18.3,1.0,27.4,27.2,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,17:52:20,15,1,15.3,1.0,165.0,164.5,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,18:06:52,15,1,19.6,1.0,291.9,291.5,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,19:38:16,15,1,15.3,1.1,24.9,24.4,2,1,1.00,CYCLE,E
IND,208,34217,63753,20/09/2021,19:40:28,15,0,36.3,0.1,274.0,273.7,2,1,1.00,CYCLE,W
IND,208,34217,63752,20/09/2021,20:05:28,15,1,16.9,1.1,424.3,424.0,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,20:15:23,15,1,17.9,1.0,36.0,35.7,2,1,1.00,CYCLE,E
IND,208,34217,63752,20/09/2021,21:07:47,15,1,30.2,1.0,644.4,644.0,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,06:21:11,15,1,20.3,1.1,27.9,27.9,2,1,1.00,CYCLE,E
IND,208,34217,63753,21/09/2021,06:41:36,15,0,7.9,1.1,163.2,162.6,2,1,1.00,CYCLE,W
IND,208,34217,63752,21/09/2021,07:31:00,15,1,23.3,1.0,363.3,362.9,2,1,1.00,CYCLE,E
IND,208,34217,63753,21/09/2021,07:37:24,15,0,30.0,0.1,24.9,24.6,2,1,1.00,CYCLE,W
IND,208,34217,63752,21/09/2021,07:55:04,15,1,22.8,1.1,262.2,261.8,2,1,1.00,CYCLE,E
IND,208,34217,63753,21/09/2021,08:16:10,15,0,26.3,0.1,815.1,814.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,21/09/2021,08:22:09,15,0,24.6,0.1,1.7,1.3,2,1,1.00,CYCLE,W
IND,208,34217,63752,21/09/2021,08:22:51,15,1,22.4,1.0,172.2,171.7,2,1,1.00,CYCLE,E
IND,208,34217,63753,21/09/2021,08:23:38,15,0,30.4,0.1,32.3,31.9,2,1,1.00,CYCLE,W
IND,208,34217,63752,21/09/2021,08:38:44,15,1,27.4,1.1,765.4,764.7,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,08:55:34,15,1,14.5,1.1,11.3,11.0,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,09:07:53,15,1,13.4,1.1,131.0,130.6,2,1,1.00,CYCLE,E
IND,208,34217,63753,21/09/2021,09:18:21,15,0,27.3,0.1,16.7,16.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,21/09/2021,09:32:04,15,0,33.0,0.1,138.8,138.6,2,1,1.00,CYCLE,W
IND,208,34217,63752,21/09/2021,09:47:44,15,1,21.0,1.1,25.7,25.4,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,10:30:42,15,1,15.1,1.1,270.4,270.1,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,11:08:25,15,1,15.6,1.0,484.9,484.6,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,11:40:32,15,1,15.4,1.1,103.5,103.2,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,11:40:33,15,1,15.2,1.1,1.0,0.8,2,1,1.00,CYCLE,E
IND,208,34217,63753,21/09/2021,11:49:31,15,0,32.6,0.2,73.7,73.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,21/09/2021,11:54:51,15,0,34.5,0.1,27.7,27.4,2,1,1.00,CYCLE,W
IND,208,34217,63752,21/09/2021,12:40:50,15,1,18.6,1.0,471.6,471.1,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,13:33:08,15,1,22.9,1.0,122.6,122.3,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,13:43:16,15,1,12.5,1.1,44.2,43.9,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,13:52:11,15,1,20.1,1.0,89.1,88.8,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,14:30:22,15,1,9.4,1.0,71.1,70.7,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,14:58:28,15,1,13.2,1.1,196.4,196.1,2,1,1.00,CYCLE,E
IND,208,34217,63753,21/09/2021,15:07:40,15,0,27.0,0.1,362.4,362.2,2,1,1.00,CYCLE,W
IND,208,34217,63752,21/09/2021,15:09:07,15,1,21.5,1.0,142.8,142.5,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,15:10:45,15,1,22.6,1.0,98.1,97.9,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,15:21:26,15,1,22.7,1.1,13.4,13.1,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,15:24:31,15,1,15.6,1.1,75.2,74.8,2,1,1.00,CYCLE,E
IND,208,34217,63753,21/09/2021,15:25:42,15,0,33.8,0.2,126.8,126.4,2,1,1.00,CYCLE,W
IND,208,34217,63752,21/09/2021,15:52:01,15,1,19.4,1.0,59.0,58.6,2,1,1.00,CYCLE,E
IND,208,34217,63753,21/09/2021,16:09:47,15,0,18.1,1.1,74.0,73.7,2,1,1.00,CYCLE,W
IND,208,34217,63752,21/09/2021,16:59:32,15,1,15.3,1.0,12.4,12.0,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,17:00:05,15,1,24.1,1.1,30.4,30.1,2,1,1.00,CYCLE,E
IND,208,34217,63752,21/09/2021,17:06:40,15,1,28.7,1.0,57.9,57.6,2,1,1.00,CYCLE,E
