DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,34271,63846,12/04/2021,01:32:43,15,1,19.3,1.1,223.9,223.9,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,06:11:08,15,1,26.1,1.0,87.2,87.2,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,07:10:06,15,1,31.2,1.0,42.1,40.8,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,07:18:03,15,1,20.0,1.0,11.9,9.7,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,07:20:15,15,1,27.5,1.1,20.8,20.1,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,07:26:10,15,1,40.9,0.9,8.9,6.9,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,07:27:28,15,1,29.1,1.1,3.3,3.3,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,08:13:14,15,1,28.7,1.0,34.6,33.7,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,08:21:36,15,1,26.5,1.0,29.8,29.8,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,08:43:35,15,1,21.4,1.0,44.7,44.7,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,09:23:49,15,1,39.4,0.8,4.0,4.0,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,09:25:09,15,1,33.4,0.9,2.2,1.0,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,10:16:00,15,1,30.9,1.0,34.2,33.1,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,11:18:04,15,1,44.9,1.0,16.0,15.5,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,11:40:25,15,1,26.4,0.9,41.8,41.5,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,12:27:09,15,1,27.1,1.0,75.7,75.3,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,12:38:43,15,1,32.6,0.3,2.4,1.0,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,12:54:41,15,1,27.8,1.0,11.0,9.3,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,13:00:57,15,1,37.8,0.6,12.6,11.6,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,13:01:53,15,1,41.8,0.6,56.0,55.9,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,13:10:27,15,1,23.6,1.0,12.1,10.8,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,13:10:55,15,1,42.0,0.9,27.6,27.5,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,13:20:28,15,1,43.3,0.8,3.2,2.2,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,13:38:14,15,1,31.2,1.0,65.5,64.5,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,13:38:16,15,1,33.9,1.0,2.0,1.9,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,13:43:28,15,1,34.9,1.0,29.4,29.4,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,13:54:15,15,1,30.1,1.0,19.3,18.3,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,14:06:19,15,1,24.1,1.1,16.4,15.6,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,14:13:41,15,1,22.9,1.1,19.3,18.8,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,14:39:33,15,1,37.4,1.0,50.3,49.2,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,14:41:46,15,1,28.5,1.1,2.6,1.6,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,15:30:14,15,1,21.9,1.1,62.2,62.2,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,15:42:14,15,1,27.8,1.1,112.0,111.2,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,15:42:16,15,1,24.3,1.1,2.0,1.9,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,15:42:18,15,1,22.8,1.1,2.4,2.2,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,15:50:26,15,1,25.6,1.0,24.8,23.9,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,15:51:53,15,1,30.7,1.2,14.7,13.6,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,15:53:50,15,1,29.8,1.0,13.3,13.3,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,15:56:03,15,1,31.9,1.0,21.5,20.5,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:02:32,15,1,35.1,1.0,24.9,24.8,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:07:37,15,1,27.2,1.0,24.4,23.5,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:16:30,15,1,31.0,1.0,8.2,7.3,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:20:46,15,1,36.4,1.0,87.1,86.3,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:25:46,15,1,28.4,1.1,10.6,10.0,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:30:58,15,1,31.6,1.0,39.7,39.0,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:42:45,15,1,36.5,1.0,280.5,279.5,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:47:32,15,1,31.5,1.1,83.3,82.3,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:48:47,15,1,31.1,1.0,32.9,32.5,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:48:48,15,1,28.6,1.1,1.2,1.1,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:53:42,15,1,27.9,1.0,13.0,11.9,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:59:43,15,1,27.6,1.1,14.5,13.6,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,16:59:51,15,1,29.1,1.0,8.7,8.6,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,17:00:21,15,1,36.4,1.0,29.4,29.3,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,17:01:28,15,1,31.9,1.1,8.6,7.7,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,17:05:44,15,1,30.0,1.1,19.7,18.4,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,17:05:46,15,1,30.8,1.1,1.7,1.6,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,17:06:01,15,1,32.2,1.0,14.7,14.6,2,1,1.00,CYCLE,S
IND,208,34271,63846,12/04/2021,17:10:27,15,1,34.9,1.0,42.8,41.5,2,1,1.00,CYCLE,S
