DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,40003,70007,17/05/2021,05:52:54,15,2,19.9,1.0,2309.1,2308.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,07:31:43,15,2,22.3,1.1,51.3,51.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,07:35:59,15,2,23.8,1.0,255.7,255.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,07:38:40,15,2,16.3,1.0,161.3,161.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,07:40:21,15,2,20.9,1.0,100.4,100.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,07:56:27,15,2,20.5,1.1,51.4,50.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:02:46,15,2,21.9,1.0,379.2,379.1,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:15:33,15,2,24.9,1.0,569.2,568.6,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:16:54,15,2,17.8,1.0,80.7,80.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:20:44,15,2,16.5,1.1,230.2,229.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:20:45,15,2,17.4,1.1,1.0,0.7,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:30:57,15,2,21.7,1.0,611.8,611.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:36:54,15,2,15.7,1.0,14.1,13.6,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:37:29,15,2,24.1,1.1,34.4,34.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:40:27,15,2,22.6,1.0,178.3,178.1,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:42:41,15,2,20.0,1.1,133.8,133.7,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:49:51,15,2,14.4,1.0,253.8,253.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,08:54:07,15,2,19.1,1.0,256.2,256.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,09:15:15,15,2,19.9,1.0,28.1,27.8,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,09:16:39,15,2,14.9,1.0,83.4,83.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,09:39:37,15,2,17.6,1.1,1378.5,1378.3,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,09:50:17,15,2,21.6,1.0,418.6,418.3,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,09:51:12,15,2,19.4,1.1,55.2,55.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,11:03:04,15,2,17.7,1.0,2255.8,2255.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,11:07:47,15,2,14.5,1.1,283.8,283.6,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,12:49:33,15,2,4.6,0.5,6105.4,6105.1,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,14:02:39,15,2,18.7,1.0,4385.7,4385.3,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,14:44:20,15,2,16.2,1.0,346.7,346.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,15:58:23,15,2,16.0,1.0,329.1,328.8,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,16:54:43,15,2,21.0,1.1,350.9,349.7,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,17:42:47,15,2,19.4,1.0,20.4,20.1,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,17:51:42,15,2,15.8,1.0,534.6,534.4,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,17:59:38,15,2,16.9,1.0,476.3,476.1,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,18:14:03,15,2,23.4,1.0,174.3,173.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,18:26:35,15,2,16.5,1.0,751.7,751.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,19:09:27,15,2,24.5,1.0,2008.5,2008.1,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,19:29:11,15,2,22.1,1.1,1184.1,1184.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,19:45:40,15,2,16.8,1.1,989.0,988.8,2,1,1.00,CYCLE,S
IND,208,40003,70007,17/05/2021,20:27:35,15,2,20.3,1.0,2515.1,2514.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,06:46:57,15,2,21.2,0.9,1619.1,1618.7,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:02:22,15,2,19.7,1.0,93.5,93.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:15:34,15,2,15.2,1.1,792.2,792.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:29:57,15,2,15.0,1.0,301.4,301.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:35:08,15,2,17.8,1.0,310.5,310.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:36:09,15,2,20.6,1.1,61.0,60.8,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:36:12,15,2,20.7,1.1,3.1,2.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:37:51,15,2,16.7,1.0,99.1,98.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:38:09,15,2,25.3,1.0,18.3,18.1,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:49:01,15,2,18.8,1.0,651.8,651.7,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:49:01,15,2,18.8,1.0,0.0,0.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:52:09,15,2,23.6,1.0,188.1,187.7,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:53:57,15,2,24.7,1.0,107.7,107.6,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:54:10,15,2,25.7,1.1,12.8,12.7,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,07:55:09,15,2,21.2,1.1,59.7,59.6,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:00:04,15,2,22.3,1.0,294.2,294.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:03:21,15,2,19.3,1.0,197.8,197.7,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:05:43,15,2,27.3,1.0,141.4,141.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:14:26,15,2,26.9,1.0,523.3,523.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:15:29,15,2,19.4,1.0,62.8,62.6,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:17:06,15,2,24.9,1.0,97.1,96.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:26:19,15,2,19.9,1.0,233.9,233.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:28:15,15,2,21.6,1.0,116.1,115.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:29:56,15,2,22.6,1.0,101.5,101.4,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:31:18,15,2,19.0,1.0,82.0,81.8,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:32:13,15,2,20.8,1.1,35.5,35.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:37:20,15,2,13.8,1.0,38.0,37.4,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:37:22,15,2,14.9,1.1,1.5,1.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:38:53,15,2,14.5,1.1,91.0,90.8,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,08:58:22,15,2,16.4,1.0,708.8,708.6,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,09:02:09,15,2,24.2,1.1,226.6,226.4,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,09:04:14,15,2,18.5,1.0,125.3,125.1,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,09:06:02,15,2,15.1,1.0,107.6,107.4,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,09:30:25,15,2,21.3,1.0,67.8,67.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,09:34:45,15,2,15.1,1.0,259.2,259.1,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,09:36:26,15,2,22.4,1.0,101.6,101.3,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,09:46:36,15,2,17.9,1.0,610.0,609.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,09:57:44,15,2,18.6,1.0,667.7,667.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,09:58:57,15,2,19.9,1.1,72.7,72.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,10:14:30,15,2,21.3,1.1,384.7,384.5,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,10:29:06,15,2,22.0,1.0,162.4,162.1,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,11:29:09,15,2,8.9,1.0,3143.2,3142.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,12:05:42,15,2,15.9,1.0,1388.1,1386.6,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,12:43:42,15,2,19.2,1.0,156.0,155.4,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,13:23:06,15,2,17.4,1.0,2254.9,2254.6,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,14:08:24,15,2,20.0,1.0,1284.2,1283.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,14:14:48,15,2,13.3,1.0,20.5,20.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,14:17:02,15,2,17.4,1.1,134.3,134.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,14:27:37,15,2,20.9,1.0,635.4,635.2,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,15:01:21,15,2,18.2,1.0,143.1,141.8,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,15:14:47,15,2,22.2,1.0,287.1,286.8,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,15:19:39,15,2,17.7,1.0,291.1,290.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,15:23:36,15,2,18.1,1.0,237.1,236.9,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,15:23:39,15,2,17.5,1.0,3.6,3.4,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,15:54:09,15,2,20.7,1.1,1590.3,1590.0,2,1,1.00,CYCLE,S
IND,208,40003,70007,18/05/2021,16:01:19,15,2,19.5,1.0,430.8,430.6,2,1,1.00,CYCLE,S
