DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,6600,59465,22/03/2021,02:41:06,15,1,33.4,1.0,0.0,0.0,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,04:42:18,15,1,33.0,1.1,7272.1,7272.0,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,04:55:01,15,0,20.8,1.0,8035.0,8035.0,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,05:20:03,15,1,22.7,1.0,2265.1,2265.0,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,05:21:53,15,1,28.6,1.0,110.0,109.8,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,05:22:27,15,1,31.5,1.0,34.3,34.1,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,05:36:35,15,0,21.2,1.0,2493.9,2493.7,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,05:41:17,15,0,17.8,1.1,282.4,282.2,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,05:48:07,15,0,25.5,1.1,410.3,410.1,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,06:02:19,15,1,36.4,1.0,2391.4,2391.3,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,06:02:26,15,1,31.1,1.0,7.7,7.6,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,06:25:19,15,1,31.6,1.0,1372.2,1372.1,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,06:25:44,15,1,34.2,1.0,25.4,25.3,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,06:27:01,15,0,24.2,1.0,186.2,186.1,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,06:27:32,15,0,25.0,1.0,30.9,30.7,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,06:29:58,15,0,22.8,1.1,146.6,146.5,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,06:32:54,15,0,19.0,1.1,175.6,175.4,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,06:34:19,15,0,13.0,1.1,85.4,85.2,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,06:37:09,15,1,32.9,1.0,685.0,684.9,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,06:39:43,15,1,30.1,1.0,154.2,154.1,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,06:39:43,15,1,28.7,1.0,0.3,0.2,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,06:40:13,15,0,27.3,1.0,353.3,353.0,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,06:41:31,15,0,21.7,1.1,77.8,77.7,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,06:43:26,15,1,36.9,1.0,222.8,222.6,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,06:55:53,15,0,24.2,1.0,862.4,862.3,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,06:58:49,15,1,28.2,1.1,922.8,922.7,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,06:58:52,15,0,21.1,1.0,179.0,178.8,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,06:59:49,15,1,26.2,1.0,59.9,59.8,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,06:59:50,15,1,26.2,1.0,1.1,1.0,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,07:03:08,15,0,24.1,1.0,256.2,256.1,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:03:20,15,0,21.8,1.0,11.5,11.3,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:05:00,15,0,20.7,1.0,100.7,100.6,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:05:32,15,0,24.3,1.0,31.9,31.7,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:07:11,15,0,14.6,1.0,99.0,98.9,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,07:07:49,15,1,36.8,1.0,478.7,478.5,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,07:07:54,15,1,34.9,1.0,4.7,4.6,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,07:08:22,15,0,16.6,1.1,70.9,70.7,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,07:10:04,15,1,29.8,1.2,12.7,12.6,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,07:16:13,15,0,23.0,1.1,470.4,470.1,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:16:14,15,0,22.5,1.1,0.9,0.7,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:16:14,15,0,21.6,1.0,0.4,0.2,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:22:19,15,0,22.2,1.1,365.2,365.1,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,07:25:48,15,1,25.6,1.1,943.2,943.0,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,07:26:09,15,0,24.1,1.0,230.3,230.1,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:30:55,15,0,20.9,1.1,286.0,285.9,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:33:49,15,0,21.1,1.0,173.5,173.4,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:34:29,15,0,22.8,1.0,39.9,39.7,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:37:16,15,0,22.4,1.2,166.7,166.6,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:40:59,15,0,29.0,1.1,223.0,222.8,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,07:41:12,15,0,20.2,1.1,13.0,12.9,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,07:42:46,15,1,27.7,1.0,1018.1,1017.9,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,07:46:39,15,0,25.0,1.0,327.0,326.8,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,08:05:29,15,1,29.0,1.0,1363.5,1363.4,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,08:10:13,15,0,14.0,1.0,1414.0,1413.9,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,08:16:49,15,0,19.9,1.0,396.3,396.0,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,08:16:49,15,0,19.9,1.0,0.0,0.0,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,08:19:47,15,1,41.8,1.2,857.7,857.6,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,08:27:44,15,0,18.2,1.1,655.0,654.7,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,08:34:08,15,0,21.1,1.0,384.0,383.8,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,08:34:08,15,0,21.1,1.0,0.0,0.0,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,08:35:57,15,1,25.1,1.0,970.5,970.4,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,08:42:38,15,0,19.6,1.2,510.5,510.3,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,08:49:15,15,0,25.1,1.0,396.1,395.9,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,08:51:25,15,1,30.4,1.1,494.9,494.2,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,08:57:59,15,0,19.9,1.0,524.0,523.9,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,08:58:12,15,0,27.1,1.0,13.3,13.1,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,08:58:56,15,1,26.8,1.0,451.1,451.0,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,09:00:12,15,1,30.9,1.0,75.6,75.5,2,1,1.00,CYCLE,W
IND,208,6600,59465,22/03/2021,09:00:13,15,1,30.8,1.0,1.0,0.9,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,09:05:36,15,0,21.3,1.1,444.3,444.1,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,09:08:20,15,1,33.3,1.0,487.4,487.3,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,09:11:24,15,0,25.8,1.0,347.4,347.2,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,09:20:59,15,0,13.3,1.1,575.8,575.6,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,09:25:30,15,1,27.5,1.0,1030.0,1029.9,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,09:27:05,15,0,21.2,1.1,365.7,365.4,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,09:33:17,15,1,23.8,1.2,2.9,2.7,2,1,1.00,CYCLE,W
IND,208,6600,59464,22/03/2021,09:41:27,15,0,13.6,1.0,862.0,861.8,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,09:43:31,15,0,16.4,1.1,123.5,123.2,2,1,1.00,CYCLE,E
IND,208,6600,59464,22/03/2021,09:43:38,15,0,15.1,1.0,7.2,7.0,2,1,1.00,CYCLE,E
IND,208,6600,59465,22/03/2021,09:45:14,15,1,33.4,1.0,717.1,716.9,2,1,1.00,CYCLE,W
