DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,5555,32021,60182,30/01/2021,00:03:02,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,01:02:50,15,1,63.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,01:22:37,15,2,74.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,04:46:30,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,04:51:50,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:07:45,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:07:45,15,2,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:07:49,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:07:49,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:07:50,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:24:02,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:32:33,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:34:13,15,2,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:34:14,15,3,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:36:00,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:42:08,15,2,40.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:42:09,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:42:43,15,1,17.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:44:39,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:46:24,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:50:16,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:51:00,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:52:59,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:53:08,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:53:17,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:53:47,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:53:48,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:54:16,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:56:15,15,1,21.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:56:55,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:57:55,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:58:12,15,2,36.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:58:26,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:58:35,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:58:46,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,05:59:35,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:00:26,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:00:54,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:01:01,15,2,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:01:01,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:01:05,15,1,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:01:10,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:01:17,15,2,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:01:18,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:01:18,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:01:23,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:01:42,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:02:40,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:03:26,15,3,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:07:01,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:07:26,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:07:57,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:07,15,2,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:07,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:08,15,2,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:08,15,2,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:08,15,2,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:09,15,2,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:09,15,2,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:10,15,2,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:15,15,3,16.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:15,15,2,17.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:11:20,15,1,10.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:12:17,15,2,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:12:40,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:15:31,15,1,12.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:15:47,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:16:11,15,1,37.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:18:34,15,1,36.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:18:46,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:18:46,15,2,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:18:54,15,2,45.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:18:54,15,1,43.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:19:24,15,1,20.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:19:55,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:19:58,15,1,43.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:19:58,15,1,41.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:19:59,15,1,45.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:19:59,15,1,45.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:21:19,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:21:26,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:21:41,15,1,43.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:21:41,15,1,45.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:21:42,15,1,43.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:22:09,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:22:23,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:22:24,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:22:26,15,2,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:22:26,15,2,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,30/01/2021,06:23:17,15,1,34.0,,,,2,,1.0,Cycle,S
