DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,34215,63748,23/08/2021,05:58:31,15,1,19.6,1.1,327.1,325.8,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,06:49:55,15,1,28.7,1.0,247.8,247.1,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,07:10:22,15,1,21.8,1.1,503.2,502.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,07:42:44,15,1,26.8,1.1,31.1,30.8,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:00:45,15,1,24.7,1.0,247.1,246.7,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:14:06,15,1,23.4,1.0,86.7,86.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:19:14,15,1,20.7,1.1,128.7,127.9,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:25:29,15,1,21.0,1.0,32.3,31.9,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:32:22,15,1,24.5,1.0,157.2,156.9,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:35:43,15,1,23.8,1.1,58.9,58.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:37:41,15,1,22.2,1.0,118.6,118.5,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:46:21,15,1,28.1,1.1,332.5,332.1,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:51:14,15,1,15.2,1.1,37.9,36.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:57:13,15,1,12.4,1.1,138.6,138.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,08:57:35,15,1,20.1,1.0,22.1,21.8,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,09:05:58,15,1,23.8,1.1,122.0,121.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,09:48:50,15,1,27.5,1.0,136.9,136.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,09:51:01,15,1,27.0,1.1,34.4,34.1,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,09:51:33,15,1,20.1,1.0,32.3,32.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,09:58:57,15,1,22.7,1.1,283.7,283.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,09:59:13,15,1,25.3,1.1,16.0,15.8,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,10:07:47,15,1,19.5,1.1,198.6,198.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,10:13:21,15,1,14.6,1.2,166.8,166.0,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,10:26:49,15,1,19.8,1.1,81.5,81.1,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,10:39:51,15,1,22.0,1.1,198.0,197.1,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,10:41:08,15,1,17.7,1.1,77.7,77.5,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,10:54:27,15,1,20.0,1.0,19.6,19.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,10:54:34,15,1,20.7,1.1,6.5,6.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,11:01:58,15,1,23.4,1.1,34.9,34.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,11:04:03,15,1,15.7,1.0,38.7,38.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,11:11:04,15,1,18.1,1.0,54.7,54.0,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,11:11:05,15,1,19.4,1.1,1.1,0.9,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,11:13:12,15,1,17.7,1.0,67.8,67.5,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,11:33:44,15,1,22.5,1.1,8.0,7.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,11:45:22,15,1,18.1,1.0,104.8,104.5,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,11:47:35,15,1,16.4,0.8,102.5,102.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,12:09:39,15,1,14.1,1.0,56.9,56.1,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,12:11:32,15,1,23.2,1.1,113.4,113.1,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,12:12:49,15,1,17.5,1.1,5.2,4.9,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,12:44:50,15,1,17.4,1.1,18.1,17.8,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,12:53:02,15,1,17.4,1.1,84.2,83.8,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,12:54:34,15,1,23.3,1.1,92.1,91.9,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,13:09:38,15,1,21.9,1.0,30.1,29.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,13:10:17,15,1,22.4,1.1,32.9,32.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,13:16:40,15,1,17.9,1.1,176.3,176.0,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,13:17:42,15,1,21.5,1.1,32.7,32.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,13:18:47,15,1,20.2,1.1,64.6,64.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,13:24:55,15,1,22.4,1.1,38.1,37.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,13:29:18,15,1,17.7,1.1,26.5,25.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,13:52:37,15,1,19.2,1.1,91.8,91.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,13:59:23,15,1,12.4,1.0,169.9,169.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,14:01:53,15,1,22.2,1.0,14.4,14.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,14:13:10,15,1,22.0,1.1,260.6,259.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,14:25:38,15,1,19.0,1.1,206.5,206.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,14:29:02,15,1,17.0,1.1,54.7,54.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,14:30:46,15,1,23.3,1.1,103.9,103.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,14:45:23,15,1,21.0,1.0,16.6,16.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,14:45:45,15,1,21.1,1.2,22.3,22.1,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,14:49:54,15,1,20.5,1.0,26.7,26.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,15:33:20,15,1,21.0,1.0,149.4,149.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,15:37:11,15,1,21.0,0.8,10.0,9.7,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,15:40:11,15,1,23.7,1.1,62.1,61.9,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,15:52:31,15,1,10.5,1.1,59.7,59.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,15:54:07,15,1,18.1,1.1,96.6,96.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,15:57:52,15,1,20.1,1.2,33.3,33.0,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,15:58:34,15,1,21.8,1.1,42.3,42.1,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:01:35,15,1,19.5,1.1,181.5,181.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:08:40,15,1,30.7,1.0,295.2,294.9,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:08:42,15,1,27.5,1.0,1.6,1.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:19:07,15,1,22.0,1.1,62.3,62.0,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:19:56,15,1,25.9,1.1,49.3,49.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:29:56,15,1,10.6,1.0,74.8,74.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:32:24,15,1,24.5,1.0,128.5,127.8,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:35:14,15,1,26.5,1.0,49.6,49.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:35:19,15,1,19.3,1.1,4.7,4.5,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:42:53,15,1,20.3,1.1,58.7,58.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:47:17,15,1,17.0,1.0,76.2,75.9,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:48:27,15,1,24.3,1.0,15.4,15.1,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:55:47,15,1,19.1,1.0,62.9,62.5,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:59:13,15,1,16.6,1.0,169.5,169.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,16:59:20,15,1,20.9,1.1,7.0,6.8,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:03:02,15,1,17.9,1.1,12.8,12.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:05:44,15,1,21.5,1.1,26.0,25.7,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:08:27,15,1,24.7,1.0,18.3,17.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:13:46,15,1,25.6,1.0,11.6,11.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:14:23,15,1,22.1,1.1,37.4,37.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:15:41,15,1,17.1,1.1,62.6,62.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:20:36,15,1,27.4,1.1,31.8,31.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:20:37,15,1,26.4,1.0,1.3,1.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:26:57,15,1,17.6,1.0,87.7,87.3,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:27:28,15,1,18.3,1.0,31.1,30.8,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:31:06,15,1,24.7,1.1,35.9,35.5,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:32:53,15,1,22.0,1.1,19.7,19.4,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:35:35,15,1,20.2,1.1,50.3,50.0,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:41:21,15,1,20.4,1.0,22.5,22.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:41:50,15,1,21.8,1.0,29.4,29.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,17:51:30,15,1,17.0,1.1,266.5,265.7,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,18:09:25,15,1,19.0,1.1,82.2,81.9,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,18:10:47,15,1,15.4,1.0,6.0,5.8,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,18:16:30,15,1,25.9,1.1,115.9,115.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,18:23:09,15,1,18.3,1.1,111.5,111.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,18:31:02,15,1,22.7,1.1,54.4,54.2,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,18:46:58,15,1,18.4,1.0,340.3,339.7,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,18:48:17,15,1,32.0,1.0,10.2,10.0,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,18:48:46,15,1,19.0,1.1,8.4,7.6,2,1,1.00,CYCLE,N
IND,208,34215,63748,23/08/2021,19:05:01,15,1,25.3,1.0,125.6,125.2,2,1,1.00,CYCLE,N
