DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,34216,63751,29/11/2021,07:44:46,15,2,21.1,1.0,4.7,4.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,08:07:45,15,2,15.9,1.1,41.4,41.1,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,08:11:26,15,2,19.3,1.0,119.9,119.2,2,1,1.00,CYCLE,S
IND,208,34216,63750,29/11/2021,08:27:47,15,0,24.4,1.0,54.7,54.0,2,1,1.00,CYCLE,N
IND,208,34216,63750,29/11/2021,08:49:57,15,0,25.3,1.0,1329.8,1329.6,2,1,1.00,CYCLE,N
IND,208,34216,63751,29/11/2021,08:50:44,15,2,27.9,1.1,60.9,60.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,09:02:37,15,2,18.3,1.1,8.5,8.2,2,1,1.00,CYCLE,S
IND,208,34216,63750,29/11/2021,09:02:42,15,0,17.4,1.0,420.7,420.7,2,1,1.00,CYCLE,N
IND,208,34216,63751,29/11/2021,09:12:36,15,2,24.3,1.1,71.6,71.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,09:35:33,15,2,23.2,1.1,2.9,1.9,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,09:41:56,15,2,16.9,1.1,72.9,72.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,09:46:37,15,2,12.4,1.2,32.2,31.4,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,09:56:25,15,2,22.6,1.1,2.4,1.2,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,10:07:02,15,2,20.7,1.0,27.0,26.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,10:10:55,15,2,17.4,1.1,29.7,29.4,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,10:14:22,15,2,17.7,1.2,22.6,22.2,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,10:22:15,15,2,20.1,1.0,73.6,71.9,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,10:38:28,15,2,10.1,1.0,20.2,19.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,10:40:33,15,2,17.3,1.0,43.4,43.1,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,11:05:40,15,2,25.8,1.0,14.7,14.4,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,11:12:30,15,2,14.6,1.0,69.4,68.9,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,11:15:23,15,2,11.0,1.0,13.0,12.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,11:20:51,15,2,22.5,1.1,8.5,8.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,11:50:42,15,2,13.4,1.2,53.7,53.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,11:57:11,15,2,16.2,1.0,12.0,11.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,11:59:28,15,2,18.4,1.1,46.7,46.5,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,12:13:15,15,2,20.4,1.0,26.0,25.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,12:25:10,15,2,19.1,1.1,22.0,21.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,12:26:30,15,2,22.1,1.0,70.3,70.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,12:28:08,15,2,20.7,1.1,24.6,24.1,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,12:33:26,15,2,16.2,1.1,14.4,14.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:07:43,15,2,26.6,1.0,3.3,3.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:17:31,15,2,13.7,1.1,8.6,8.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:20:11,15,2,10.6,0.4,101.8,101.4,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:28:49,15,2,20.0,1.0,90.2,89.8,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:29:36,15,2,31.7,1.0,10.5,10.1,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:35:33,15,2,39.8,1.1,1.4,1.1,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:36:31,15,2,14.7,1.0,57.8,57.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:52:16,15,2,12.7,1.0,134.4,134.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:56:17,15,2,17.6,1.1,19.9,19.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:59:36,15,2,16.3,1.0,11.3,11.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,13:59:48,15,2,14.7,1.1,12.1,11.9,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,14:49:53,15,2,26.8,1.1,15.6,15.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:04:42,15,2,17.0,1.1,15.5,15.4,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:09:39,15,2,13.5,1.0,9.2,8.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:10:47,15,2,21.2,1.0,2.3,1.9,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:11:23,15,2,31.4,1.0,15.1,14.8,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:11:23,15,2,32.6,1.0,0.3,0.2,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:13:43,15,2,24.6,1.0,1.9,1.5,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:17:36,15,2,15.9,1.1,3.4,3.2,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:17:37,15,2,16.1,1.0,1.2,1.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:18:08,15,2,16.0,1.1,2.6,2.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:19:02,15,2,17.8,1.1,9.0,8.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:20:31,15,2,16.8,1.1,9.5,9.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:20:38,15,2,25.5,1.0,5.4,5.1,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:23:34,15,2,16.1,1.1,34.3,34.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:29:09,15,2,15.1,1.1,4.0,3.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:38:30,15,2,19.9,1.1,9.8,9.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:40:56,15,2,28.9,1.0,19.2,18.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:40:57,15,2,29.0,1.1,0.4,0.2,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:40:58,15,2,20.2,1.0,1.5,1.4,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:42:54,15,2,23.7,1.0,26.8,26.5,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,15:59:20,15,2,18.3,1.0,9.3,8.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,16:02:41,15,2,23.9,1.0,4.6,4.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,16:12:02,15,2,17.2,1.0,37.6,37.4,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,16:16:03,15,2,23.4,1.1,7.2,6.5,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,16:49:49,15,2,25.5,1.1,5.0,4.8,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,17:03:35,15,2,14.4,1.1,24.8,24.5,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,17:06:50,15,2,17.1,1.0,18.7,17.9,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,17:08:36,15,2,22.9,1.0,4.1,3.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,17:14:50,15,2,20.1,1.1,2.7,2.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,17:18:19,15,2,20.9,1.0,6.5,6.4,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,17:18:35,15,2,19.3,1.1,3.6,3.3,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,17:57:52,15,2,21.2,1.0,15.5,15.1,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,18:00:52,15,2,19.9,1.0,19.0,18.6,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,18:01:51,15,2,17.0,1.0,3.9,3.7,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,18:02:47,15,2,19.1,1.0,28.7,28.0,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,18:08:20,15,2,30.0,0.9,37.8,37.5,2,1,1.00,CYCLE,S
IND,208,34216,63751,29/11/2021,18:12:01,15,2,22.6,1.0,11.0,10.5,2,1,1.00,CYCLE,S
