DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,34217,63753,22/02/2021,04:25:40,15,2,21.6,1.1,9253.7,9253.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,04:47:38,15,2,15.5,1.1,1318.4,1318.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,06:23:41,15,2,19.8,1.0,1183.5,1181.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,06:31:58,15,2,19.5,1.0,100.3,99.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,06:41:48,15,2,27.4,1.0,590.2,590.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,07:40:39,15,2,12.1,1.1,65.3,65.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,07:40:55,15,2,20.7,1.1,16.1,15.8,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,07:42:00,15,2,18.2,1.1,64.4,64.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,07:58:42,15,2,21.3,1.1,36.7,36.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,08:06:23,15,2,26.5,1.0,262.4,262.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,08:23:28,15,2,22.2,1.1,153.7,153.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,08:29:08,15,2,20.2,1.2,27.1,26.8,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,08:33:12,15,2,16.7,1.0,7.0,6.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,08:36:52,15,2,15.6,1.1,22.9,22.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,08:40:58,15,2,19.0,1.0,167.7,167.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,08:43:09,15,2,17.5,1.0,90.9,90.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,08:43:30,15,2,29.6,1.1,20.5,20.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,09:06:17,15,2,15.4,0.5,136.0,135.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,09:32:13,15,2,28.7,1.0,171.4,171.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,09:46:31,15,2,17.9,1.1,89.0,88.8,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,09:53:09,15,2,16.9,1.0,67.9,67.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,09:58:08,15,2,21.5,1.1,36.9,36.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,10:08:54,15,2,36.9,0.2,0.2,0.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,10:11:26,15,2,22.6,1.1,14.3,13.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,10:25:59,15,2,22.4,1.1,141.2,141.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,10:36:20,15,2,19.3,1.1,6.0,5.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,11:21:31,15,2,28.0,0.1,0.3,0.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,11:27:57,15,2,21.3,1.1,12.1,12.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,11:40:52,15,2,19.5,1.2,53.9,53.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,11:51:13,15,2,15.1,1.1,347.1,347.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,11:52:59,15,2,21.0,1.0,71.3,71.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,12:53:31,15,2,20.6,1.0,321.9,321.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,12:57:42,15,2,23.0,1.0,36.8,36.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,12:59:55,15,2,30.3,1.0,55.8,55.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,13:15:13,15,2,19.7,1.1,116.4,116.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,13:18:37,15,2,20.9,1.1,173.1,172.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,13:20:31,15,2,18.6,1.1,113.9,113.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,13:35:01,15,2,21.1,1.1,22.0,21.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,13:54:32,15,2,24.0,1.0,10.3,10.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,13:56:08,15,2,21.5,1.1,95.6,95.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,13:57:20,15,2,16.2,1.0,54.2,53.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,14:31:11,15,2,25.8,1.0,201.1,200.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,14:32:27,15,2,23.8,1.0,69.8,69.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,14:39:35,15,2,17.0,1.1,297.9,297.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,14:40:41,15,2,14.7,1.1,66.7,66.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,15:07:01,15,2,21.2,1.0,50.0,49.8,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,15:07:57,15,2,26.6,1.0,55.8,55.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,15:54:31,15,2,20.7,1.1,98.9,98.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,15:57:56,15,2,25.4,1.0,17.5,17.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,16:01:30,15,2,20.9,1.1,69.0,68.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,16:34:17,15,2,20.2,1.0,140.5,139.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,16:43:14,15,2,19.2,1.1,45.4,44.9,2,1,1.00,CYCLE,W
IND,208,34217,63752,22/02/2021,16:46:34,15,0,28.0,0.2,368.7,368.2,2,1,1.00,CYCLE,E
IND,208,34217,63753,22/02/2021,16:59:13,15,2,21.3,1.0,279.4,278.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,17:02:35,15,2,20.2,1.0,103.9,103.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,17:05:15,15,2,26.5,1.1,18.3,17.8,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,17:19:48,15,2,21.2,1.1,20.6,20.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,17:20:22,15,2,24.8,1.0,34.1,33.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,17:22:30,15,2,25.0,1.1,127.6,127.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,17:25:02,15,2,21.5,1.1,28.2,28.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,17:32:12,15,2,21.0,1.0,351.9,351.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,17:51:14,15,2,18.8,0.9,7.6,7.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,17:56:14,15,2,20.2,1.1,46.2,45.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,17:56:45,15,2,18.1,1.1,19.6,19.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,18:00:30,15,2,19.0,1.0,10.9,10.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,18:07:38,15,2,18.9,1.1,38.5,38.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,18:13:01,15,2,24.4,1.1,28.2,27.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,18:13:09,15,2,17.9,1.1,8.3,8.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,18:19:49,15,2,18.7,1.1,76.2,76.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,18:28:20,15,2,18.7,1.1,26.1,25.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,18:30:48,15,2,15.6,0.4,17.0,16.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,18:41:42,15,2,25.1,1.0,157.2,157.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,19:13:25,15,2,20.8,1.1,40.1,39.8,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,19:28:12,15,2,21.0,1.0,116.7,116.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,19:34:31,15,2,22.1,1.2,105.7,105.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,19:36:03,15,2,22.5,1.1,91.6,91.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,20:01:15,15,2,4.2,0.1,5.0,5.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,20:01:47,15,2,23.5,1.1,32.5,32.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,20:04:45,15,2,26.1,1.0,67.8,67.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,20:14:00,15,2,23.2,1.1,189.5,188.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,21:22:39,15,2,22.1,1.1,77.2,76.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,22/02/2021,21:31:21,15,2,20.2,1.1,522.2,522.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,06:09:03,15,2,18.9,1.0,575.8,575.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,06:35:54,15,2,19.5,1.0,258.5,258.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,06:42:45,15,2,28.3,1.0,411.7,411.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,07:12:26,15,2,22.7,1.2,204.9,204.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,07:39:20,15,2,23.6,1.1,42.5,42.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,07:44:27,15,2,18.9,1.0,39.5,39.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,07:49:26,15,2,23.2,1.0,298.5,298.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,08:05:45,15,2,24.5,1.1,42.4,42.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,08:07:14,15,2,22.2,1.1,89.8,89.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,08:37:44,15,2,18.1,1.1,218.6,218.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,08:40:00,15,2,18.0,1.0,11.2,10.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,08:50:42,15,2,20.9,1.1,16.0,15.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,09:03:05,15,2,20.9,1.0,277.7,277.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,09:26:13,15,2,22.2,1.0,86.1,85.8,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,09:50:53,15,2,17.6,1.1,50.7,50.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,10:06:31,15,2,20.5,1.0,369.7,369.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,10:12:03,15,2,18.2,1.1,31.3,30.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,10:34:45,15,2,19.1,1.0,415.2,415.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,10:45:40,15,2,17.2,1.0,77.5,77.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,11:04:27,15,2,18.6,1.0,83.6,83.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,11:10:58,15,2,22.7,1.1,10.1,9.8,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,11:13:22,15,2,16.2,0.5,66.4,66.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,11:30:14,15,2,21.4,1.1,314.2,314.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,11:41:36,15,2,18.6,1.1,70.4,70.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,11:46:02,15,2,22.0,1.0,130.2,129.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,11:56:29,15,2,17.5,1.0,239.3,239.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,12:12:36,15,2,23.5,1.0,97.2,96.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,12:23:21,15,2,19.3,1.0,24.3,24.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,12:52:32,15,2,16.2,1.1,85.7,85.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,13:11:56,15,2,20.1,1.0,227.4,227.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,13:31:41,15,2,27.3,1.1,20.8,20.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,13:35:21,15,2,20.0,1.0,220.1,220.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,13:44:19,15,2,19.1,1.0,77.2,77.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,13:45:12,15,2,19.6,1.1,53.4,53.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,14:08:27,15,2,23.2,1.0,327.9,327.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,14:13:29,15,2,25.6,1.0,254.7,254.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,14:33:45,15,2,18.8,1.0,72.2,72.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,15:01:40,15,2,22.8,1.1,314.1,313.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,15:22:15,15,2,19.9,1.0,75.0,74.8,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,15:31:41,15,2,18.6,1.1,25.3,25.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,15:49:32,15,2,22.5,1.0,107.7,107.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,16:02:08,15,2,23.9,1.0,41.6,41.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,16:08:00,15,2,15.0,1.1,109.8,109.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,16:11:30,15,2,23.9,1.1,136.5,136.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,16:14:10,15,2,17.1,1.0,14.8,14.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,16:39:59,15,2,15.8,1.1,165.4,165.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,16:48:57,15,2,18.6,1.0,252.9,252.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,17:14:58,15,2,23.7,1.1,89.9,89.6,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,17:37:29,15,2,17.6,1.1,98.4,98.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,17:37:30,15,2,20.3,1.0,1.7,1.4,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,17:51:38,15,2,17.5,1.1,134.4,133.8,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,17:51:38,15,2,18.5,1.0,0.5,0.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,17:52:18,15,2,15.9,1.1,39.7,39.5,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,17:56:16,15,2,21.2,1.0,74.0,73.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,17:58:37,15,2,20.5,1.1,27.0,26.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:07:07,15,2,17.0,1.1,105.6,105.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:11:11,15,2,19.4,1.1,83.7,83.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:21:06,15,2,18.0,1.1,59.1,59.1,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:26:01,15,2,25.3,1.0,176.3,175.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:28:36,15,2,16.7,1.1,83.6,82.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:30:31,15,2,20.1,1.1,107.0,106.7,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:37:13,15,2,22.0,1.0,118.3,118.0,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:38:30,15,2,19.2,1.1,77.5,77.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:41:05,15,2,22.8,1.1,131.4,130.3,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:51:21,15,2,22.7,1.0,146.1,145.9,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,18:52:29,15,2,23.2,1.0,67.3,67.2,2,1,1.00,CYCLE,W
IND,208,34217,63753,23/02/2021,19:26:12,15,2,20.7,1.1,95.9,95.3,2,1,1.00,CYCLE,W
