DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,34556,64397,22/11/2021,01:53:53,15,0,25.9,1.1,0.0,0.0,2,1,1.00,CYCLE,E
IND,208,34556,64397,22/11/2021,02:01:14,15,0,32.4,1.0,441.4,441.3,2,1,0.80,CYCLE,E
IND,208,34556,64398,22/11/2021,05:24:52,15,1,18.6,1.0,7503.4,7503.2,2,1,1.00,CYCLE,W
IND,208,34556,64397,22/11/2021,05:26:17,15,0,23.7,1.0,3725.7,3725.6,2,1,0.80,CYCLE,E
IND,208,34556,64397,22/11/2021,06:05:42,15,0,30.7,1.1,1219.9,1219.6,2,1,1.00,CYCLE,E
IND,208,34556,64397,22/11/2021,06:07:36,15,0,23.1,1.0,114.3,114.2,2,1,1.00,CYCLE,E
IND,208,34556,64398,22/11/2021,06:52:48,15,1,23.6,1.0,3966.1,3966.0,2,1,1.00,CYCLE,W
IND,208,34556,64397,22/11/2021,06:57:15,15,0,29.1,1.1,2978.5,2978.3,2,1,1.00,CYCLE,E
IND,208,34556,64397,22/11/2021,06:58:07,15,0,27.1,1.0,52.0,51.9,2,1,1.00,CYCLE,E
IND,208,34556,64398,22/11/2021,06:59:44,15,1,23.8,1.0,415.9,415.7,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,07:08:11,15,1,21.6,1.0,506.7,506.5,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,07:12:50,15,1,21.1,1.1,279.0,278.8,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,07:18:09,15,1,37.9,1.2,319.1,318.9,2,1,1.00,CYCLE,W
IND,208,34556,64397,22/11/2021,07:19:01,15,0,26.4,1.1,821.4,820.1,2,1,1.00,CYCLE,E
IND,208,34556,64398,22/11/2021,07:24:25,15,1,27.2,1.0,375.9,375.8,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,07:30:10,15,1,27.9,1.0,344.9,344.8,2,1,1.00,CYCLE,W
IND,208,34556,64397,22/11/2021,07:38:31,15,0,22.1,1.0,1169.1,1168.9,2,1,1.00,CYCLE,E
IND,208,34556,64397,22/11/2021,07:38:34,15,0,24.5,1.0,3.0,2.9,2,1,1.00,CYCLE,E
IND,208,34556,64397,22/11/2021,07:47:35,15,0,20.4,1.1,541.8,541.6,2,1,1.00,CYCLE,E
IND,208,34556,64398,22/11/2021,07:57:21,15,1,18.6,1.0,1589.3,1588.5,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,08:01:22,15,1,15.8,0.6,241.0,240.8,2,1,0.80,CYCLE,W
IND,208,34556,64398,22/11/2021,08:02:43,15,1,23.1,1.0,81.3,81.2,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,08:06:15,15,1,19.5,1.1,212.1,211.9,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,08:08:05,15,1,5.5,1.0,110.5,110.3,2,1,0.75,CYCLE,W
IND,208,34556,64398,22/11/2021,08:10:38,15,1,21.2,1.1,152.6,151.9,2,1,1.00,CYCLE,W
IND,208,34556,64397,22/11/2021,08:11:52,15,0,19.4,1.0,1456.2,1456.0,2,1,1.00,CYCLE,E
IND,208,34556,64397,22/11/2021,08:15:49,15,0,18.1,1.1,237.2,237.0,2,1,1.00,CYCLE,E
IND,208,34556,64398,22/11/2021,08:15:59,15,1,17.4,1.1,148.6,147.2,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,08:18:44,15,1,9.4,1.0,164.3,164.0,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,08:19:01,15,1,10.4,0.9,17.6,17.2,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,08:20:00,15,1,10.1,1.1,58.3,57.9,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,08:20:01,15,1,10.6,1.0,1.9,1.5,2,1,1.00,CYCLE,W
IND,208,34556,64398,22/11/2021,08:20:40,15,1,10.7,1.0,38.6,38.3,2,1,1.00,CYCLE,W
IND,208,34556,64397,22/11/2021,08:24:31,15,0,21.7,1.0,522.6,523.4,2,1,0.80,CYCLE,E
