DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,208,40003,70006,17/05/2021,06:01:53,15,1,19.3,1.0,33364.3,33364.1,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,06:19:54,15,1,11.7,1.0,1080.9,1080.7,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,06:52:24,15,1,16.5,1.0,1950.5,1950.2,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,07:38:44,15,1,17.9,1.0,633.0,632.6,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,07:41:40,15,1,16.3,1.0,175.6,175.4,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,07:47:26,15,1,15.3,1.1,346.1,345.9,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,07:51:57,15,1,18.5,1.0,271.9,271.7,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,07:57:29,15,1,20.2,1.1,331.8,331.6,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,08:12:04,15,1,22.1,1.0,245.2,244.9,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,08:43:13,15,1,13.7,1.0,1868.6,1868.5,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,09:17:57,15,1,23.8,1.2,699.0,698.4,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,09:41:42,15,1,17.6,1.0,1425.5,1425.4,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,09:43:17,15,1,21.2,1.0,94.5,94.3,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,09:53:32,15,1,16.1,1.0,615.6,615.4,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,10:27:05,15,1,20.1,1.0,2013.2,2013.0,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,10:44:08,15,1,19.5,1.0,1022.8,1022.6,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,11:38:52,15,1,20.4,1.1,3283.6,3283.4,2,1,1.00,CYCLE,N
IND,208,40003,70007,17/05/2021,11:43:20,15,0,11.3,0.9,9422.6,9422.6,2,1,1.00,CYCLE,S
IND,208,40003,70006,17/05/2021,11:51:41,15,1,13.0,1.0,769.6,769.4,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,12:30:12,15,1,10.8,1.0,2311.1,2310.9,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,12:43:24,15,1,19.9,1.0,20.1,19.9,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,12:48:05,15,1,19.1,1.0,280.9,280.7,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,13:05:01,15,1,22.2,1.0,1015.7,1015.5,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,13:36:49,15,1,18.1,1.0,721.6,721.2,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,13:45:38,15,1,30.7,1.0,529.1,528.9,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,14:00:28,15,1,21.7,1.0,890.2,890.1,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,14:09:01,15,1,16.7,1.0,512.5,512.4,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,14:38:56,15,1,21.7,1.0,1795.6,1795.4,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,14:46:30,15,1,21.0,1.0,453.7,453.6,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,15:59:19,15,1,10.9,1.0,1278.3,1278.1,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,16:07:35,15,1,17.6,1.0,495.6,495.3,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,16:16:33,15,1,19.0,1.0,537.8,537.7,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,16:39:54,15,1,14.4,1.0,1401.4,1401.2,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,16:39:56,15,1,15.9,1.0,2.1,1.8,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,16:46:10,15,1,13.7,1.0,373.5,373.3,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,16:51:14,15,1,27.3,1.1,304.4,304.2,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,16:54:27,15,1,19.2,1.0,192.5,192.4,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:00:02,15,1,20.9,1.0,334.9,334.7,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:12:13,15,1,19.0,1.0,731.3,731.1,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:12:31,15,1,22.4,1.0,18.5,18.3,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:21:40,15,1,16.1,1.1,548.8,548.7,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:24:20,15,1,19.3,1.1,109.1,108.7,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:26:17,15,1,21.9,1.0,117.2,117.0,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:37:51,15,1,23.4,1.0,693.7,693.6,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:38:38,15,1,15.7,0.9,46.8,46.6,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:39:58,15,1,18.2,1.0,80.3,80.1,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:42:12,15,1,19.3,1.0,134.1,133.9,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:42:39,15,1,15.6,1.0,27.0,26.8,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:45:04,15,1,18.1,1.0,145.0,144.8,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:45:05,15,1,18.2,1.1,0.6,0.4,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:45:41,15,1,14.0,1.0,36.1,35.9,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:46:31,15,1,16.5,1.0,50.1,49.8,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:46:38,15,1,14.3,1.0,6.7,6.5,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:47:14,15,1,25.5,1.0,36.2,36.0,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:47:30,15,1,20.2,1.1,15.8,15.6,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:51:42,15,1,18.3,1.0,252.3,252.1,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:51:46,15,1,17.8,1.0,4.0,3.8,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:54:04,15,1,10.6,1.1,137.7,137.4,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,17:59:22,15,1,26.2,1.0,228.5,228.2,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,18:09:08,15,1,14.4,1.0,586.4,586.3,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,18:10:31,15,1,17.3,1.0,82.7,82.5,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,18:10:39,15,1,16.0,1.0,8.1,7.9,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,18:12:58,15,1,20.2,1.0,138.8,138.6,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,18:14:16,15,1,15.4,1.0,78.3,78.1,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,18:16:29,15,1,18.1,1.0,58.1,57.7,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,18:17:52,15,1,18.4,1.1,83.1,82.9,2,1,1.00,CYCLE,N
IND,208,40003,70006,17/05/2021,18:24:05,15,1,27.4,1.0,373.0,372.8,2,1,1.00,CYCLE,N
