DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,5555,32021,60182,25/06/2021,00:27:11,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,04:41:05,15,1,12.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,04:41:05,15,1,12.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,04:41:05,15,1,12.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:19:22,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:42:15,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:45:42,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:48:48,15,2,14.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:55:34,15,3,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:55:35,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:55:35,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:57:10,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:57:55,15,2,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:57:55,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:57:55,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:57:55,15,2,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:57:56,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:58:49,15,3,39.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:58:49,15,1,36.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:58:49,15,1,37.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,05:58:50,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:00:52,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:00:56,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:01:47,15,2,16.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:01:47,15,2,17.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:02:03,15,2,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:02:03,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:03:00,15,1,37.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:06:59,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:12:14,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:12:14,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:14:13,15,3,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:14:13,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:15:32,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:18:34,15,2,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:20:26,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:25:48,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:26:07,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:29:21,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:29:22,15,2,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:29:23,15,1,48.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:29:23,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:36:57,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:41:23,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:44:45,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:45:47,15,1,36.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:45:53,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:45:53,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:56:27,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,06:59:00,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:12:41,15,3,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:13:20,15,2,83.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:18:24,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:21:09,15,3,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:21:09,15,2,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:21:09,15,2,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:25:19,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:30:16,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:37:07,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:41:02,15,1,74.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:42:58,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:43:53,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:47:24,15,2,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:49:55,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:51:47,15,3,13.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:51:47,15,2,14.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:51:48,15,2,12.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:51:48,15,3,12.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:51:51,15,2,19.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:51:51,15,3,18.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:51:51,15,2,17.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:51:51,15,3,17.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,07:56:19,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,08:01:44,15,2,72.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,08:02:25,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,08:06:24,15,3,18.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,08:06:25,15,2,18.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,25/06/2021,08:06:25,15,3,16.0,,,,2,,1.0,Cycle,S
